image_name,fold,category
Training_img_280.jpg,0,Brown_blight
Training_img_662.jpg,0,Brown_blight
Training_img_651.jpg,0,Brown_blight
Training_img_809.jpg,0,Brown_blight
Training_img_546.jpg,0,Brown_blight
Training_img_491.jpg,0,Brown_blight
Training_img_508.jpg,0,Brown_blight
Training_img_298.jpg,0,Brown_blight
Training_img_700.jpg,0,Brown_blight
Training_img_621.jpg,0,Brown_blight
Training_img_205.jpg,0,Brown_blight
Training_img_498.jpg,0,Brown_blight
Training_img_723.jpg,0,Brown_blight
Training_img_537.jpg,0,Brown_blight
Training_img_203.jpg,0,Brown_blight
Training_img_413.jpg,0,Brown_blight
Training_img_375.jpg,0,Brown_blight
Training_img_532.jpg,0,Brown_blight
Training_img_492.jpg,0,Brown_blight
Training_img_44.jpg,0,Brown_blight
Training_img_405.jpg,0,Brown_blight
Training_img_209.jpg,0,Brown_blight
Training_img_317.jpg,0,Brown_blight
Training_img_353.jpg,0,Brown_blight
Training_img_177.jpg,0,Brown_blight
Training_img_783.jpg,0,Brown_blight
Training_img_730.jpg,0,Brown_blight
Training_img_517.jpg,0,Brown_blight
Training_img_476.jpg,0,Brown_blight
Training_img_435.jpg,0,Brown_blight
Training_img_335.jpg,0,Brown_blight
Training_img_771.jpg,0,Brown_blight
Training_img_346.jpg,0,Brown_blight
Training_img_680.jpg,0,Brown_blight
Training_img_800.jpg,0,Brown_blight
Training_img_367.jpg,0,Brown_blight
Training_img_19.jpg,0,Brown_blight
Training_img_710.jpg,0,Brown_blight
Training_img_326.jpg,0,Brown_blight
Training_img_320.jpg,0,Brown_blight
Training_img_465.jpg,0,Brown_blight
Training_img_206.jpg,0,Brown_blight
Training_img_75.jpg,0,Brown_blight
Training_img_254.jpg,0,Brown_blight
Training_img_116.jpg,0,Brown_blight
Training_img_228.jpg,0,Brown_blight
Training_img_665.jpg,0,Brown_blight
Training_img_173.jpg,0,Brown_blight
Training_img_272.jpg,0,Brown_blight
Training_img_330.jpg,0,Brown_blight
Training_img_501.jpg,0,Brown_blight
Training_img_123.jpg,0,Brown_blight
Training_img_581.jpg,0,Brown_blight
Training_img_521.jpg,0,Brown_blight
Training_img_595.jpg,0,Brown_blight
Training_img_397.jpg,0,Brown_blight
Training_img_720.jpg,0,Brown_blight
